tconst,genre_id
tt0026778,17
tt0026912,7
tt0026912,15
tt0027075,9
tt0027075,14
tt0027075,21
tt0027125,6
tt0027125,17
tt0027125,21
tt0027194,9
tt0027194,11
tt0027194,15
tt0027260,6
tt0027260,7
tt0027260,18
tt0027438,1
tt0027438,3
tt0027438,21
tt0027521,9
tt0027521,15
tt0027521,22
tt0027532,9
tt0027532,21
tt0027545,9
tt0027545,11
tt0027545,15
tt0027652,7
tt0027652,9
tt0027652,12
tt0027698,9
tt0027698,17
tt0027884,6
tt0027884,21
tt0027977,6
tt0027977,9
tt0027977,21
tt0027996,6
tt0027996,9
tt0027996,21
tt0028010,6
tt0028010,9
tt0028010,21
tt0028096,9
tt0028096,26
tt0028212,7
tt0028212,26
tt0028216,9
tt0028216,16
tt0028216,21
tt0028231,7
tt0028231,9
tt0028231,18
tt0028333,6
tt0028333,17
tt0028333,21
tt0028346,7
tt0028346,9
tt0028358,9
tt0028358,22
tt0028358,27
tt0028445,6
tt0028445,9
tt0028445,21
tt0028597,6
tt0028597,21
tt0028683,9
tt0028683,21
tt0028691,3
tt0028691,9
tt0028691,10
tt0028772,6
tt0028772,10
tt0028772,17
tt0028773,7
tt0028773,9
tt0028773,12
tt0028944,9
tt0028944,21
tt0028950,9
tt0028950,27
tt0028988,9
tt0028988,10
tt0028988,17
tt0029146,5
tt0029146,9
tt0029162,3
tt0029162,9
tt0029162,11
tt0029192,9
tt0029192,21
tt0029217,7
tt0029217,9
tt0029217,12
tt0029284,6
tt0029284,21
tt0029322,6
tt0029322,9
tt0029322,11
tt0029339,4
tt0029339,6
tt0029339,10
tt0029442,3
tt0029442,9
tt0029442,21
tt0029453,7
tt0029453,9
tt0029453,21
tt0029546,6
tt0029546,17
tt0029546,21
tt0029583,3
tt0029583,4
tt0029583,10
tt0029604,6
tt0029604,9
tt0029604,21
tt0029606,9
tt0029606,21
tt0029608,9
tt0029608,21
tt0029682,6
tt0029682,11
tt0029682,21
tt0029747,6
tt0029747,10
tt0029747,28
tt0029808,7
tt0029808,9
tt0029808,12
tt0029811,7
tt0029811,9
tt0029811,18
tt0029843,1
tt0029843,3
tt0029843,21
tt0029850,1
tt0029850,5
tt0029850,9
tt0029870,7
tt0029870,9
tt0029870,12
tt0029929,6
tt0029929,21
tt0029942,5
tt0029942,9
tt0029942,10
tt0029947,6
tt0029957,7
tt0029957,9
tt0029992,9
tt0029992,10
tt0029992,11
tt0030241,6
tt0030241,21
tt0030287,9
tt0030287,21
tt0030341,7
tt0030341,9
tt0030341,18
tt0030522,8
tt0030522,24
tt0030637,6
tt0030637,9
tt0030637,21
tt0030643,7
tt0030643,9
tt0030643,21
tt0030696,6
tt0030993,6
tt0030993,9
tt0030993,21
tt0031022,7
tt0031022,18
tt0031022,26
tt0031047,6
tt0031047,7
tt0031047,18
tt0031060,6
tt0031060,17
tt0031067,6
tt0031067,21
tt0031088,1
tt0031088,3
tt0031088,9
tt0031210,9
tt0031210,21
tt0031225,6
tt0031225,28
tt0031235,28
tt0031252,9
tt0031252,21
tt0031252,27
tt0031322,6
tt0031322,10
tt0031322,27
tt0031334,3
tt0031334,9
tt0031334,14
tt0031359,9
tt0031359,18
tt0031359,21
tt0031381,9
tt0031381,21
tt0031381,27
tt0031385,9
tt0031385,21
tt0031397,3
tt0031397,4
tt0031397,6
tt0031398,3
tt0031398,6
tt0031398,27
tt0031448,7
tt0031448,18
tt0031448,26
tt0031455,9
tt0031455,21
tt0031505,3
tt0031505,7
tt0031505,9
tt0031507,9
tt0031507,28
tt0031514,7
tt0031514,9
tt0031514,21
tt0031580,6
tt0031580,9
tt0031580,10
tt0031593,6
tt0031593,9
tt0031593,21
tt0031647,6
tt0031647,21
tt0031679,6
tt0031679,9
tt0031725,6
tt0031725,21
tt0031742,3
tt0031742,9
tt0031762,3
tt0031762,9
tt0031762,21
tt0031826,5
tt0031826,9
tt0031826,14
tt0031867,7
tt0031867,9
tt0031867,26
tt0031885,6
tt0031885,9
tt0031951,9
tt0031951,15
tt0031951,22
tt0031971,3
tt0031971,9
tt0031971,28
tt0032138,3
tt0032138,10
tt0032138,11
tt0032143,6
tt0032143,9
tt0032145,9
tt0032145,21
tt0032155,5
tt0032155,9
tt0032194,9
tt0032194,21
tt0032234,6
tt0032455,4
tt0032455,10
tt0032455,11
tt0032484,1
tt0032484,9
tt0032484,21
tt0032536,6
tt0032536,17
tt0032536,28
tt0032551,9
tt0032553,6
tt0032553,9
tt0032553,27
tt0032599,6
tt0032599,9
tt0032599,21
tt0032635,9
tt0032635,15
tt0032635,18
tt0032701,7
tt0032701,9
tt0032701,12
tt0032728,9
tt0032728,27
tt0032762,1
tt0032762,3
tt0032762,9
tt0032811,9
tt0032818,3
tt0032818,11
tt0032818,15
tt0032842,9
tt0032842,21
tt0032842,26
tt0032904,6
tt0032904,21
tt0032910,3
tt0032910,4
tt0032910,6
tt0032943,6
tt0032943,9
tt0032943,21
tt0032976,9
tt0032976,18
tt0032976,21
tt0032981,6
tt0032981,9
tt0032981,21
tt0033028,1
tt0033028,3
tt0033028,14
tt0033045,6
tt0033045,9
tt0033045,21
tt0033149,7
tt0033149,9
tt0033149,12
tt0033152,3
tt0033152,10
tt0033152,11
tt0033238,9
tt0033238,21
tt0033238,27
tt0033253,9
tt0033253,28
tt0033373,6
tt0033373,21
tt0033388,6
tt0033388,10
tt0033388,17
tt0033467,9
tt0033467,18
tt0033532,9
tt0033532,11
tt0033532,21
tt0033533,6
tt0033533,21
tt0033553,9
tt0033553,15
tt0033553,22
tt0033563,3
tt0033563,4
tt0033563,9
tt0033627,9
tt0033627,26
tt0033627,27
tt0033712,6
tt0033712,11
tt0033712,21
tt0033717,1
tt0033717,3
tt0033717,9
tt0033729,9
tt0033729,10
tt0033740,7
tt0033740,9
tt0033740,12
tt0033804,6
tt0033804,21
tt0033836,9
tt0033836,21
tt0033870,7
tt0033870,9
tt0033870,12
tt0033873,7
tt0033873,9
tt0033873,21
tt0033874,6
